Alternativet,Dansk Folkeparti,Det Konservative Folkeparti,Enhedslisten,Kristendemokraterne,Liberal Alliance,Nye Borgerlige,Radikale Venstre,Socialdemokratiet,Socialistisk Folkeparti,Venstre,Borgernes Parti,Danmarksdemokraterne,Frie Grønne,Moderaterne
0.022752564,0.08170724,0.06407419,0.07447784,0.00016123289,0.12074297,0.00016123289,0.045041814,0.20168728,0.13754247,0.10956824,0.023747114,0.06666746,0.00016123289,0.051507108
0.026564803,0.09180282,0.06743879,0.06543373,0.00016889164,0.102309026,0.00016889164,0.055124875,0.19287299,0.13150945,0.10923214,0.019057406,0.07886576,0.00016889164,0.059281543
0.020902874,0.07741336,0.07719788,0.07016392,0.00017631598,0.12076305,0.00017631598,0.042271294,0.21950918,0.13028286,0.09702585,0.028134156,0.06236279,0.00017631598,0.053443834
0.022380404,0.07921336,0.068321675,0.06781684,0.00015054937,0.10136006,0.00015054937,0.054481667,0.21423896,0.13778938,0.106283896,0.022592375,0.078431286,0.00015054937,0.04663846
0.024939403,0.07881,0.06671686,0.07626019,0.00019646666,0.110628515,0.00019646666,0.04642947,0.20874354,0.11608382,0.12092009,0.02295172,0.06299766,0.00019646666,0.06392933
0.022381583,0.0809086,0.07280483,0.05710023,0.00014830782,0.107994355,0.00014830782,0.05898854,0.22343615,0.14236161,0.091003485,0.020934807,0.070566334,0.00014830782,0.051074598
0.023159174,0.079918444,0.063116424,0.08156741,0.00026063394,0.11150442,0.00026063394,0.048032593,0.1954603,0.13088317,0.111277655,0.023852622,0.07073943,0.00026063394,0.05970651
0.019413155,0.077984266,0.070311576,0.054877933,0.00021541274,0.11523154,0.00021541274,0.05686278,0.21452345,0.14470178,0.102214746,0.02692618,0.06662906,0.00021541274,0.049677312
0.0212816,0.09790756,0.059314802,0.07500847,0.00019494575,0.089156635,0.00019494575,0.050300606,0.22884148,0.12781301,0.09390015,0.029038107,0.06704647,0.00019494575,0.0598063
0.023775319,0.07946048,0.06752064,0.06307247,0.00014770168,0.110428266,0.00014770168,0.051233683,0.2347038,0.12234963,0.09906719,0.01995606,0.07057139,0.00014770168,0.057417963
0.02044277,0.075844705,0.06641757,0.07406924,0.00014242042,0.10780312,0.00014242042,0.058581565,0.21933009,0.12819338,0.11215373,0.021372713,0.06783814,0.00014242042,0.047525626
0.02687899,0.07808513,0.07360841,0.073477425,0.00017592547,0.11706723,0.00017592547,0.045460507,0.18859512,0.13502318,0.09518247,0.020767706,0.078770444,0.00017592547,0.0665556
0.020682666,0.083988324,0.05916151,0.062557064,0.00014807905,0.110554084,0.00014807905,0.06220688,0.21977694,0.12561463,0.12020158,0.02237876,0.065148264,0.00014807905,0.047285013
0.022493869,0.092284255,0.07831142,0.06742853,0.00021399399,0.10316112,0.00021399399,0.044548985,0.19646548,0.14831132,0.08551344,0.01994274,0.07845901,0.00021399399,0.062437933
0.026224189,0.0917938,0.07606093,0.062110133,0.00018063362,0.116770886,0.00018063362,0.04982643,0.19110811,0.12912922,0.08912012,0.02277036,0.08990056,0.00018063362,0.054643296
0.019324137,0.084722824,0.079897486,0.071093954,0.00014540734,0.10347141,0.00014540734,0.058979835,0.17583504,0.15141472,0.10467623,0.024298413,0.078840315,0.00014540734,0.047009435
0.025310704,0.090297095,0.057323385,0.07222211,0.00018092013,0.105639175,0.00018092013,0.044866323,0.2392307,0.12729616,0.10487436,0.017870892,0.055850036,0.00018092013,0.058676265
0.025971103,0.08393404,0.06486837,0.076702334,0.00016803837,0.11124352,0.00016803837,0.046154194,0.21626216,0.12947623,0.090175375,0.023339607,0.07024395,0.00016803837,0.061125
0.028287157,0.08122636,0.06382368,0.06615822,0.00015885857,0.11040839,0.00015885857,0.04445691,0.20793213,0.14740789,0.10355636,0.021584712,0.06937645,0.00015885857,0.05530513
0.022898376,0.07668579,0.07536364,0.07591047,0.00013226083,0.117678456,0.00013226083,0.056953657,0.2058343,0.11892129,0.10721703,0.01932552,0.06713487,0.00013226083,0.05567977
0.026277073,0.07495983,0.053414654,0.0831815,0.00028027262,0.09313467,0.00028027262,0.048626516,0.24490054,0.12488709,0.12102084,0.020017838,0.060754996,0.00028027262,0.047983646
0.023988333,0.07667112,0.056093708,0.0839605,0.00028072263,0.09276494,0.00028072263,0.049290724,0.23330776,0.12676287,0.1267854,0.022027709,0.06271681,0.00028072263,0.044787887
0.02013097,0.07701614,0.060392134,0.071744315,0.00020593253,0.121893816,0.00020593253,0.049708553,0.2054332,0.12677103,0.1119726,0.020034866,0.07291899,0.00020593253,0.06136559
0.022319365,0.0920502,0.07171388,0.078264974,0.0002016347,0.114883356,0.0002016347,0.053291243,0.16340815,0.14178085,0.09902908,0.031712737,0.0764497,0.0002016347,0.054491572
0.021380397,0.10343857,0.07160688,0.08041,0.00014667748,0.11230861,0.00014667748,0.05403479,0.16133143,0.1416351,0.0962317,0.027976917,0.07778493,0.00014667748,0.051420614
0.023258962,0.0760746,0.068492085,0.07024088,0.00016506285,0.09445422,0.00016506285,0.04795542,0.24558987,0.1197732,0.10987777,0.01832422,0.07148408,0.00016506285,0.053979505
0.025127241,0.08061368,0.06558589,0.069701195,0.00019612645,0.09275419,0.00019612645,0.049874935,0.23177266,0.12656724,0.107908584,0.017848514,0.0762328,0.00019612645,0.055424735
0.02955635,0.08006141,0.07459762,0.07154802,0.00019723011,0.11704367,0.00019723011,0.050013833,0.21432006,0.11181578,0.10521614,0.020732615,0.073979326,0.00019723011,0.050523475
0.021781556,0.08454674,0.07184012,0.061532546,0.00015472752,0.114164196,0.00015472752,0.052488904,0.2071857,0.12445524,0.114817195,0.0202957,0.07148759,0.00015472752,0.05494026
